sample	x	y	group
200	2.78718748	1.057274744	B
201	1.80850166	0.941984527	B
202	1.71380116	0.250978325	B
203	3.838997698	1.634961182	B
204	0.939843638	-4.590381774	B
205	0.14096506	-3.208746789	B
206	1.494449739	-4.654592307	B
207	2.550926486	2.402249292	B
208	6.120095565	7.079179428	B
209	5.441142928	4.711281202	B
210	1.047600703	-0.544651995	B
211	1.555229732	-3.901053398	B
212	1.762858553	-0.946973621	B
213	2.17206044	0.626109321	B
214	5.666080488	8.118717662	B
215	2.993068294	3.334333471	B
216	3.763812442	3.018136439	B
217	3.279827023	-0.673008158	B
218	3.033351195	2.591818141	B
219	3.740435599	2.99659339	B
220	6.324612218	5.899228425	B
221	3.146879394	-0.183596261	B
222	6.607596665	10.00026761	B
223	0.953885754	-5.38513692	B
224	5.447105481	6.022116031	B
225	0.960281255	-1.683488201	B
226	1.841946149	-2.888714302	B
227	2.784156082	0.944025383	B
228	6.225917414	9.517389521	B
229	6.43017052	7.08237442	B
230	1.004117761	-0.62719796	B
231	3.960906913	4.269418998	B
232	3.916621692	3.502674457	B
233	2.398414147	-2.453424787	B
234	2.299376402	0.924991407	B
235	2.130098908	0.802092184	B
236	1.504478163	-2.008818542	B
237	6.079412846	9.66488752	B
238	3.574749307	1.126256459	B
239	3.86507855	5.329291641	B
240	2.934282695	-1.033400921	B
241	3.337452276	-0.250704702	B
242	0.419530632	-6.191656475	B
243	3.948526857	3.116988187	B
244	3.811444092	4.224091992	B
245	1.400217548	-3.092392464	B
246	5.28927618	5.244061231	B
247	6.497994554	7.360010387	B
248	5.367855501	8.030282087	B
249	2.552916414	0.573027132	B
250	1.49091228	-0.322395963	B
251	3.035283575	-1.018979852	B
252	3.199855554	1.130202793	B
253	2.527099776	-0.194405288	B
254	1.568982729	-1.403284855	B
255	1.374836461	-3.010945303	B
256	1.137927584	-2.940735064	B
257	0.178519366	-6.706887051	B
258	0.218700625	-6.459175829	B
259	4.674814241	5.211824605	B
260	2.564227955	1.046119105	B
261	0.682721002	-5.332495265	B
262	3.528870505	4.543169102	B
263	1.744164782	-2.441864082	B
264	1.760569313	-2.420000691	B
265	0.989175801	-2.645579078	B
266	3.462494373	3.352582499	B
267	0.804621672	-5.295779597	B
268	6.651189144	5.763712432	B
269	3.444892159	3.897341477	B
270	2.362481948	1.611977252	B
271	1.892238286	-2.569573317	B
272	0.718006629	-2.767932213	B
273	6.441013251	5.291801488	B
274	0.99184817	-4.568791946	B
275	3.865401369	0.439762763	B
276	6.555433664	9.513810092	B
277	5.105643263	2.608958554	B
278	2.318113341	-1.524724251	B
279	4.517041632	4.561326233	B
280	2.209853632	0.520028381	B
281	5.345427336	3.807875825	B
282	1.10810976	-0.375511243	B
283	0.481738086	-4.626921021	B
284	1.24492595	-0.585632972	B
285	2.621105981	1.016589223	B
286	1.439470422	-2.434931885	B
287	1.462098359	0.402170492	B
288	5.499412312	8.052468663	B
289	2.57181273	2.284965335	B
290	6.129153915	5.816766932	B
291	3.967209091	3.714254857	B
292	3.726597385	0.254607502	B
293	0.595387269	-3.813769721	B
294	2.639714915	-0.261804195	B
295	1.324522649	-3.704189679	B
296	4.448207481	5.637491981	B
297	4.978325983	3.010514414	B
298	1.162062241	-3.416540749	B
299	3.033361449	1.380121674	B
